Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,14,7,Some Random Commen with Id 0
1,0,7,169,7,Some Random Commen with Id 1
2,0,7,67,8,Some Random Commen with Id 2
3,0,7,184,7,Some Random Commen with Id 3
4,0,7,83,2,Some Random Commen with Id 4
5,0,7,132,4,Some Random Commen with Id 5
6,1,8,89,2,Some Random Commen with Id 6
7,1,8,143,3,Some Random Commen with Id 7
8,1,8,106,0,Some Random Commen with Id 8
9,2,0,95,9,Some Random Commen with Id 9
10,2,0,42,3,Some Random Commen with Id 10
11,2,0,32,5,Some Random Commen with Id 11
12,3,8,149,4,Some Random Commen with Id 12
13,3,8,92,3,Some Random Commen with Id 13
14,3,8,4,8,Some Random Commen with Id 14
15,3,8,195,9,Some Random Commen with Id 15
16,3,8,85,3,Some Random Commen with Id 16
17,4,3,29,3,Some Random Commen with Id 17
18,4,3,73,3,Some Random Commen with Id 18
19,4,3,54,4,Some Random Commen with Id 19
20,4,3,27,0,Some Random Commen with Id 20
21,4,3,63,4,Some Random Commen with Id 21
22,4,3,60,3,Some Random Commen with Id 22
23,5,9,109,7,Some Random Commen with Id 23
24,5,9,198,1,Some Random Commen with Id 24
25,5,9,113,6,Some Random Commen with Id 25
26,5,9,85,0,Some Random Commen with Id 26
27,5,9,106,7,Some Random Commen with Id 27
28,6,9,5,0,Some Random Commen with Id 28
29,6,9,73,6,Some Random Commen with Id 29
30,6,9,135,3,Some Random Commen with Id 30
31,6,9,92,0,Some Random Commen with Id 31
32,6,9,171,8,Some Random Commen with Id 32
33,6,9,70,0,Some Random Commen with Id 33
34,6,9,25,9,Some Random Commen with Id 34
35,7,0,116,2,Some Random Commen with Id 35
36,7,0,140,6,Some Random Commen with Id 36
37,8,6,3,1,Some Random Commen with Id 37
38,8,6,85,6,Some Random Commen with Id 38
39,8,6,51,4,Some Random Commen with Id 39
40,9,1,151,8,Some Random Commen with Id 40
41,9,1,54,0,Some Random Commen with Id 41
42,9,1,0,4,Some Random Commen with Id 42
43,9,1,13,3,Some Random Commen with Id 43
44,10,6,152,8,Some Random Commen with Id 44
45,10,6,55,3,Some Random Commen with Id 45
46,10,6,125,6,Some Random Commen with Id 46
47,10,6,4,1,Some Random Commen with Id 47
48,10,6,172,3,Some Random Commen with Id 48
49,10,6,48,2,Some Random Commen with Id 49
50,10,6,13,7,Some Random Commen with Id 50
51,10,6,27,7,Some Random Commen with Id 51
52,11,2,27,0,Some Random Commen with Id 52
53,11,2,168,9,Some Random Commen with Id 53
54,11,2,71,4,Some Random Commen with Id 54
55,11,2,2,8,Some Random Commen with Id 55
56,12,6,80,7,Some Random Commen with Id 56
57,12,6,1,1,Some Random Commen with Id 57
58,13,4,163,0,Some Random Commen with Id 58
59,13,4,99,6,Some Random Commen with Id 59
60,13,4,100,3,Some Random Commen with Id 60
61,13,4,41,1,Some Random Commen with Id 61
62,13,4,92,6,Some Random Commen with Id 62
63,13,4,122,1,Some Random Commen with Id 63
64,13,4,138,9,Some Random Commen with Id 64
65,13,4,12,9,Some Random Commen with Id 65
66,15,7,20,6,Some Random Commen with Id 66
67,15,7,13,0,Some Random Commen with Id 67
68,15,7,134,1,Some Random Commen with Id 68
69,15,7,36,2,Some Random Commen with Id 69
70,16,4,173,8,Some Random Commen with Id 70
71,16,4,120,1,Some Random Commen with Id 71
72,16,4,136,3,Some Random Commen with Id 72
73,16,4,106,6,Some Random Commen with Id 73
74,16,4,110,9,Some Random Commen with Id 74
75,16,4,54,3,Some Random Commen with Id 75
76,18,4,45,0,Some Random Commen with Id 76
77,18,4,33,1,Some Random Commen with Id 77
78,18,4,14,8,Some Random Commen with Id 78
79,18,4,105,8,Some Random Commen with Id 79
80,18,4,154,6,Some Random Commen with Id 80
81,18,4,86,1,Some Random Commen with Id 81
82,19,9,173,9,Some Random Commen with Id 82
83,19,9,197,1,Some Random Commen with Id 83
84,19,9,128,4,Some Random Commen with Id 84
85,19,9,54,7,Some Random Commen with Id 85
86,20,5,24,8,Some Random Commen with Id 86
87,20,5,72,5,Some Random Commen with Id 87
88,20,5,90,0,Some Random Commen with Id 88
89,20,5,136,3,Some Random Commen with Id 89
90,21,7,159,2,Some Random Commen with Id 90
91,21,7,9,7,Some Random Commen with Id 91
92,21,7,18,8,Some Random Commen with Id 92
93,21,7,142,7,Some Random Commen with Id 93
94,21,7,56,8,Some Random Commen with Id 94
95,21,7,167,6,Some Random Commen with Id 95
96,22,4,24,6,Some Random Commen with Id 96
97,22,4,137,9,Some Random Commen with Id 97
98,23,1,114,4,Some Random Commen with Id 98
99,23,1,67,3,Some Random Commen with Id 99
100,23,1,184,7,Some Random Commen with Id 100
101,24,0,198,9,Some Random Commen with Id 101
102,24,0,26,0,Some Random Commen with Id 102
103,25,5,172,1,Some Random Commen with Id 103
104,25,5,76,5,Some Random Commen with Id 104
105,25,5,92,7,Some Random Commen with Id 105
106,25,5,169,1,Some Random Commen with Id 106
107,25,5,31,9,Some Random Commen with Id 107
108,25,5,53,7,Some Random Commen with Id 108
109,25,5,155,8,Some Random Commen with Id 109
110,25,5,37,1,Some Random Commen with Id 110
111,25,5,146,3,Some Random Commen with Id 111
112,26,6,122,5,Some Random Commen with Id 112
113,26,6,40,7,Some Random Commen with Id 113
114,26,6,150,8,Some Random Commen with Id 114
115,26,6,179,1,Some Random Commen with Id 115
116,27,4,52,6,Some Random Commen with Id 116
117,27,4,35,8,Some Random Commen with Id 117
118,27,4,147,6,Some Random Commen with Id 118
119,27,4,113,5,Some Random Commen with Id 119
120,27,4,134,6,Some Random Commen with Id 120
121,27,4,55,3,Some Random Commen with Id 121
122,27,4,178,8,Some Random Commen with Id 122
123,27,4,50,1,Some Random Commen with Id 123
124,27,4,129,1,Some Random Commen with Id 124
125,28,9,140,9,Some Random Commen with Id 125
126,28,9,74,9,Some Random Commen with Id 126
127,28,9,85,7,Some Random Commen with Id 127
128,28,9,2,6,Some Random Commen with Id 128
129,29,2,13,4,Some Random Commen with Id 129
130,29,2,92,8,Some Random Commen with Id 130
131,29,2,99,6,Some Random Commen with Id 131
132,29,2,81,1,Some Random Commen with Id 132
133,29,2,113,0,Some Random Commen with Id 133
134,29,2,49,5,Some Random Commen with Id 134
135,29,2,181,9,Some Random Commen with Id 135
136,29,2,108,7,Some Random Commen with Id 136
137,29,2,33,6,Some Random Commen with Id 137
138,30,7,150,8,Some Random Commen with Id 138
139,30,7,6,0,Some Random Commen with Id 139
140,30,7,142,8,Some Random Commen with Id 140
141,30,7,195,0,Some Random Commen with Id 141
142,30,7,62,7,Some Random Commen with Id 142
143,30,7,84,8,Some Random Commen with Id 143
144,30,7,150,0,Some Random Commen with Id 144
145,31,1,135,8,Some Random Commen with Id 145
146,31,1,140,1,Some Random Commen with Id 146
147,31,1,128,4,Some Random Commen with Id 147
148,31,1,151,9,Some Random Commen with Id 148
149,31,1,156,3,Some Random Commen with Id 149
150,33,1,113,8,Some Random Commen with Id 150
151,33,1,84,1,Some Random Commen with Id 151
152,34,9,12,5,Some Random Commen with Id 152
153,35,4,197,7,Some Random Commen with Id 153
154,35,4,56,6,Some Random Commen with Id 154
155,35,4,38,4,Some Random Commen with Id 155
156,35,4,65,7,Some Random Commen with Id 156
157,35,4,123,4,Some Random Commen with Id 157
158,35,4,168,7,Some Random Commen with Id 158
159,36,9,196,5,Some Random Commen with Id 159
160,36,9,160,1,Some Random Commen with Id 160
161,37,6,149,4,Some Random Commen with Id 161
162,37,6,116,8,Some Random Commen with Id 162
163,37,6,147,9,Some Random Commen with Id 163
164,39,6,98,0,Some Random Commen with Id 164
165,39,6,27,8,Some Random Commen with Id 165
166,39,6,2,6,Some Random Commen with Id 166
167,39,6,167,9,Some Random Commen with Id 167
168,39,6,30,5,Some Random Commen with Id 168
